"Date","Price","Open","High","Low","Vol.","Change %"
"2024-7-5","0.010","0.010","0.010","0.010","","0.00%"
"2024-7-4","0.010","0.010","0.010","0.010","","0.00%"
"2024-7-3","0.010","0.010","0.010","0.010","326.50K","0.00%"
"2024-7-2","0.010","0.010","0.010","0.010","40.00K","0.00%"
"2024-6-28","0.010","0.010","0.010","0.010","0.01K","0.00%"
"2024-6-27","0.010","0.010","0.010","0.010","","0.00%"
"2024-6-26","0.010","0.010","0.010","0.010","","0.00%"
"2024-6-25","0.010","0.010","0.010","0.010","","0.00%"
"2024-6-24","0.010","0.010","0.010","0.010","","0.00%"
"2024-6-21","0.010","0.010","0.010","0.010","","0.00%"
"2024-6-20","0.010","0.010","0.010","0.010","","0.00%"
"2024-6-19","0.010","0.010","0.010","0.010","200.00K","0.00%"
"2024-6-18","0.010","0.010","0.011","0.010","520.00K","0.00%"
"2024-6-17","0.010","0.010","0.010","0.010","1.21M","0.00%"
"2024-6-14","0.010","0.010","0.010","0.010","","0.00%"
"2024-6-13","0.010","0.010","0.010","0.010","","0.00%"
"2024-6-12","0.010","0.010","0.010","0.010","8.00K","0.00%"
"2024-6-11","0.010","0.010","0.010","0.010","2.11M","0.00%"
"2024-6-7","0.010","0.010","0.011","0.010","52.24M","-9.09%"
"2024-6-6","0.011","0.011","0.011","0.011","","0.00%"
"2024-6-5","0.011","0.011","0.011","0.011","","0.00%"
"2024-6-4","0.011","0.011","0.011","0.010","4.35M","0.00%"
"2024-6-3","0.011","0.011","0.011","0.011","1.06M","0.00%"
"2024-5-31","0.011","0.011","0.011","0.011","","0.00%"
"2024-5-30","0.011","0.012","0.012","0.011","3.53M","-8.33%"
"2024-5-29","0.012","0.011","0.012","0.011","952.38K","0.00%"
"2024-5-28","0.012","0.012","0.012","0.011","1.78M","0.00%"
"2024-5-27","0.012","0.012","0.012","0.011","3.18M","0.00%"
"2024-5-24","0.012","0.012","0.012","0.011","3.73M","0.00%"
"2024-5-23","0.012","0.012","0.012","0.011","4.63M","9.09%"
"2024-5-22","0.011","0.011","0.013","0.011","22.94M","0.00%"
"2024-5-21","0.011","0.011","0.013","0.010","50.92M","10.00%"
"2024-5-20","0.010","0.010","0.010","0.010","8.06M","0.00%"
"2024-5-17","0.010","0.010","0.010","0.010","5.74M","0.00%"
"2024-5-16","0.010","0.010","0.010","0.010","1.32M","0.00%"
"2024-5-14","0.010","0.010","0.010","0.010","3.38M","0.00%"
"2024-5-13","0.010","0.011","0.011","0.010","3.96M","-9.09%"
"2024-5-10","0.011","0.010","0.011","0.010","1.16M","10.00%"
"2024-5-9","0.010","0.010","0.011","0.010","1.87M","0.00%"
"2024-5-8","0.010","0.010","0.010","0.010","","0.00%"
"2024-5-7","0.010","0.010","0.010","0.010","","0.00%"
"2024-5-6","0.010","0.010","0.010","0.010","8.00K","0.00%"
"2024-5-3","0.010","0.010","0.010","0.010","2.02M","0.00%"
"2024-5-2","0.010","0.010","0.010","0.010","","0.00%"
"2024-4-30","0.010","0.010","0.010","0.010","16.00K","0.00%"
"2024-4-29","0.010","0.010","0.010","0.010","2.03M","0.00%"
"2024-4-26","0.010","0.010","0.010","0.010","56.00K","0.00%"
"2024-4-25","0.010","0.010","0.010","0.010","3.40M","0.00%"
"2024-4-24","0.010","0.010","0.010","0.010","","0.00%"
"2024-4-23","0.010","0.010","0.010","0.010","","0.00%"
"2024-4-22","0.010","0.010","0.010","0.010","","0.00%"
"2024-4-19","0.010","0.010","0.010","0.010","400.00K","0.00%"
"2024-4-18","0.010","0.010","0.010","0.010","","0.00%"
